Pair,Buy Exchange,Sell Exchange,Buy Price,Sell Price,Spread %
DOGS/USDT,Binance,OKX,3.674e-05,3.707e-05,0.8982
IMX/USDT,OKX,Binance,0.1268,0.1273,0.39432
FLOW/USDT,OKX,Binance,0.02612,0.02622,0.38285
MOVE/USDT,Binance,OKX,0.0106,0.01064,0.37736
RVN/USDT,Binance,OKX,0.00374,0.003754,0.37433
ANIME/USDT,Binance,OKX,0.00268,0.00269,0.37313
CITY/USDT,OKX,Binance,0.3826,0.384,0.36592
KSM/USDT,OKX,Binance,3.229,3.24,0.34066
AEVO/USDT,OKX,Binance,0.01856,0.01862,0.32328
GRT/USDT,Binance,OKX,0.01722,0.01727,0.29036
RPL/USDT,Binance,OKX,1.75,1.755,0.28571
NOT/USDT,Binance,OKX,0.000373,0.000374,0.2681
ICX/USDT,Binance,OKX,0.0236,0.02366,0.25424
RESOLV/USDT,OKX,Binance,0.01975,0.0198,0.25316
EGLD/USDT,Binance,OKX,3.28,3.288,0.2439
BREV/USDT,Binance,OKX,0.0741,0.07428,0.24291
COMP/USDT,Binance,OKX,16.49,16.53,0.24257
SCR/USDT,OKX,Binance,0.02498,0.02504,0.24019
PNUT/USDT,OKX,Binance,0.0424,0.0425,0.23585
CELO/USDT,Binance,OKX,0.06979,0.06994,0.21493
MET/USDT,Binance,OKX,0.1463,0.1466,0.20506
JUP/USDT,Binance,OKX,0.2029,0.2033,0.19714
MAGIC/USDT,OKX,Binance,0.04172,0.0418,0.19175
ARB/USDT,OKX,Binance,0.08943,0.0896,0.19009
AGLD/USDT,OKX,Binance,0.16,0.1603,0.1875
CHZ/USDT,OKX,Binance,0.01634,0.01637,0.1836
1INCH/USDT,Binance,OKX,0.0719,0.07203,0.18081
APT/USDT,Binance,OKX,0.594,0.595,0.16835
W/USDT,Binance,OKX,0.00964,0.009656,0.16598
BERA/USDT,Binance,OKX,0.184,0.1843,0.16304
AR/USDT,Binance,OKX,1.911,1.914,0.15699
ROBO/USDT,OKX,Binance,0.01283,0.01285,0.15588
GALA/USDT,OKX,Binance,0.002005,0.002008,0.14963
PEPE/USDT,OKX,Binance,2.726e-06,2.73e-06,0.14674
INJ/USDT,OKX,Binance,4.786,4.793,0.14626
ORDI/USDT,OKX,Binance,3.553,3.558,0.14073
UMA/USDT,OKX,Binance,0.3575,0.358,0.13986
HUMA/USDT,OKX,Binance,0.02196,0.02199,0.13661
